	Dataset	dataset_name	chip_id	replicate_group_id	organism	sample_type	generic_sample_type	final_cell_type	parental_cell_type	sex	labelling	name	description	number of samples	sample types	platform	project	species	Detection threshold	Platform_Category	Platform_Colour	Platform_Symbol	display_metadata	tier1	tier2	tier3	facs_profile	celltype	sample_description	tissue_organism_part	Hover
GSM1612362;7319	7319.0	Xiao	GSM1612362	IL3Ra high progenitor cells, replicate 3	Homo sapiens	IL3Ra high progenitor cells	CL:0000837		hematopoietic multipotent progenitor			Xiao	Osteoclasts (OCs) originate from the myeloid cell lineage, but the successive steps in their lineage commitment are ill-defined, especially in humans. To clarify OC origin, we sorted cell populations from pediatric bone marrow (BM) by flow cytometry and assessed their differentiation potential in vitro. Within the CD11b(-)CD34(+)c-KIT(+) BM cell population, OC-differentiation potential was restricted to FLT3(+) cells and enriched in an IL3 receptor (R)Œ±(high) subset that constituted less than 0.5% of total BM. These IL3RŒ±(high) cells also generated macrophages (MŒ¶s) and dendritic cells (DCs) but lacked granulocyte (GR)-differentiation potential, as demonstrated at the clonal level. The IL3RŒ±(low) subset was re-defined as common progenitor of GR, MŒ¶, OC, and DC (GMODP) and gave rise to the IL3RŒ±(high) subset that was identified as common progenitor of MŒ¶, OC, and DC (MODP). Unbiased transcriptome analysis of CD11b(-)CD34(+)c-KIT(+)FLT3(+) IL3RŒ±(low) and IL3RŒ±(high) subsets corroborated our definitions of the GMODP and MODP and their developmental relationship. Abstract from Stem Cell Reports. 2015 Jun 9;4(6):984-94. doi: 10.1016/j.stemcr.2015.04.012.	6.0	IL3Ra high progenitor cells, IL3Ra low progenitor cells	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross		in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD11b− CD34+ c-KIT+ FLT3+ IL3RAhi	hematopoietic multipotent progenitor		bone marrow	7319<br>Xiao<br>nan<br>CD11b− CD34+ c-KIT+ FLT3+ IL3RAhi<br>RNASeq (Illumina HiSeq 2000)
GSM1612363;7319	7319.0	Xiao	GSM1612363	IL3Ra low progenitor cells, replicate 1	Homo sapiens	IL3Ra low progenitor cells	CL:0000837		hematopoietic multipotent progenitor			Xiao	Osteoclasts (OCs) originate from the myeloid cell lineage, but the successive steps in their lineage commitment are ill-defined, especially in humans. To clarify OC origin, we sorted cell populations from pediatric bone marrow (BM) by flow cytometry and assessed their differentiation potential in vitro. Within the CD11b(-)CD34(+)c-KIT(+) BM cell population, OC-differentiation potential was restricted to FLT3(+) cells and enriched in an IL3 receptor (R)Œ±(high) subset that constituted less than 0.5% of total BM. These IL3RŒ±(high) cells also generated macrophages (MŒ¶s) and dendritic cells (DCs) but lacked granulocyte (GR)-differentiation potential, as demonstrated at the clonal level. The IL3RŒ±(low) subset was re-defined as common progenitor of GR, MŒ¶, OC, and DC (GMODP) and gave rise to the IL3RŒ±(high) subset that was identified as common progenitor of MŒ¶, OC, and DC (MODP). Unbiased transcriptome analysis of CD11b(-)CD34(+)c-KIT(+)FLT3(+) IL3RŒ±(low) and IL3RŒ±(high) subsets corroborated our definitions of the GMODP and MODP and their developmental relationship. Abstract from Stem Cell Reports. 2015 Jun 9;4(6):984-94. doi: 10.1016/j.stemcr.2015.04.012.	6.0	IL3Ra high progenitor cells, IL3Ra low progenitor cells	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross		in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo	hematopoietic multipotent progenitor		bone marrow	7319<br>Xiao<br>nan<br>CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo<br>RNASeq (Illumina HiSeq 2000)
GSM1612364;7319	7319.0	Xiao	GSM1612364	IL3Ra low progenitor cells, replicate 2	Homo sapiens	IL3Ra low progenitor cells	CL:0000837		hematopoietic multipotent progenitor			Xiao	Osteoclasts (OCs) originate from the myeloid cell lineage, but the successive steps in their lineage commitment are ill-defined, especially in humans. To clarify OC origin, we sorted cell populations from pediatric bone marrow (BM) by flow cytometry and assessed their differentiation potential in vitro. Within the CD11b(-)CD34(+)c-KIT(+) BM cell population, OC-differentiation potential was restricted to FLT3(+) cells and enriched in an IL3 receptor (R)Œ±(high) subset that constituted less than 0.5% of total BM. These IL3RŒ±(high) cells also generated macrophages (MŒ¶s) and dendritic cells (DCs) but lacked granulocyte (GR)-differentiation potential, as demonstrated at the clonal level. The IL3RŒ±(low) subset was re-defined as common progenitor of GR, MŒ¶, OC, and DC (GMODP) and gave rise to the IL3RŒ±(high) subset that was identified as common progenitor of MŒ¶, OC, and DC (MODP). Unbiased transcriptome analysis of CD11b(-)CD34(+)c-KIT(+)FLT3(+) IL3RŒ±(low) and IL3RŒ±(high) subsets corroborated our definitions of the GMODP and MODP and their developmental relationship. Abstract from Stem Cell Reports. 2015 Jun 9;4(6):984-94. doi: 10.1016/j.stemcr.2015.04.012.	6.0	IL3Ra high progenitor cells, IL3Ra low progenitor cells	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross		in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo	hematopoietic multipotent progenitor		bone marrow	7319<br>Xiao<br>nan<br>CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo<br>RNASeq (Illumina HiSeq 2000)
GSM1612365;7319	7319.0	Xiao	GSM1612365	IL3Ra low progenitor cells, replicate 3	Homo sapiens	IL3Ra low progenitor cells	CL:0000837		hematopoietic multipotent progenitor			Xiao	Osteoclasts (OCs) originate from the myeloid cell lineage, but the successive steps in their lineage commitment are ill-defined, especially in humans. To clarify OC origin, we sorted cell populations from pediatric bone marrow (BM) by flow cytometry and assessed their differentiation potential in vitro. Within the CD11b(-)CD34(+)c-KIT(+) BM cell population, OC-differentiation potential was restricted to FLT3(+) cells and enriched in an IL3 receptor (R)Œ±(high) subset that constituted less than 0.5% of total BM. These IL3RŒ±(high) cells also generated macrophages (MŒ¶s) and dendritic cells (DCs) but lacked granulocyte (GR)-differentiation potential, as demonstrated at the clonal level. The IL3RŒ±(low) subset was re-defined as common progenitor of GR, MŒ¶, OC, and DC (GMODP) and gave rise to the IL3RŒ±(high) subset that was identified as common progenitor of MŒ¶, OC, and DC (MODP). Unbiased transcriptome analysis of CD11b(-)CD34(+)c-KIT(+)FLT3(+) IL3RŒ±(low) and IL3RŒ±(high) subsets corroborated our definitions of the GMODP and MODP and their developmental relationship. Abstract from Stem Cell Reports. 2015 Jun 9;4(6):984-94. doi: 10.1016/j.stemcr.2015.04.012.	6.0	IL3Ra high progenitor cells, IL3Ra low progenitor cells	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross		in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo	hematopoietic multipotent progenitor		bone marrow	7319<br>Xiao<br>nan<br>CD11b− CD34+ c-KIT+ FLT3+ IL3RAlo<br>RNASeq (Illumina HiSeq 2000)
GSM1695850;7284	7284.0	Casero	GSM1695850	HSC sample 1	Homo sapiens	HSC	CL:0000037		hematopoietic multipotent progenitor			Casero	To elucidate the transcriptional 'landscape' that regulates human lymphoid commitment during postnatal life, we used RNA sequencing to assemble the long non-coding transcriptome across human bone marrow and thymic progenitor cells spanning the earliest stages of B lymphoid and T lymphoid specification. Over 3,000 genes encoding previously unknown long non-coding RNAs (lncRNAs) were revealed through the analysis of these rare populations. Lymphoid commitment was characterized by lncRNA expression patterns that were highly stage specific and were more lineage specific than those of protein-coding genes. Protein-coding genes co-expressed with neighboring lncRNA genes showed enrichment for ontologies related to lymphoid differentiation. The exquisite cell-type specificity of global lncRNA expression patterns independently revealed new developmental relationships among the earliest progenitor cells in the human bone marrow and thymus. Abstract from Nat Immunol. 2015 Dec;16(12):1282-91. doi: 10.1038/ni.3299.	20.0	HSC, LMPP, CLP, BCP, thymic MLP, thymic MLP 2, thymic T-cell progenitor, Thymic CD4+CD8+ T-cell, Thymic CD4+ T-cell, Thymic CD8+ T-cell	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	MHP CD34+CD38-  adult	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD3- CD14- CD56- CD235a- CD34+	hematopoietic multipotent progenitor		bone marrow	7284<br>Casero<br>MHP CD34+CD38-  adult<br>CD3- CD14- CD56- CD235a- CD34+<br>RNASeq (Illumina HiSeq 2000)
GSM1695851;7284	7284.0	Casero	GSM1695851	HSC sample 2	Homo sapiens	HSC	CL:0000037		hematopoietic multipotent progenitor			Casero	To elucidate the transcriptional 'landscape' that regulates human lymphoid commitment during postnatal life, we used RNA sequencing to assemble the long non-coding transcriptome across human bone marrow and thymic progenitor cells spanning the earliest stages of B lymphoid and T lymphoid specification. Over 3,000 genes encoding previously unknown long non-coding RNAs (lncRNAs) were revealed through the analysis of these rare populations. Lymphoid commitment was characterized by lncRNA expression patterns that were highly stage specific and were more lineage specific than those of protein-coding genes. Protein-coding genes co-expressed with neighboring lncRNA genes showed enrichment for ontologies related to lymphoid differentiation. The exquisite cell-type specificity of global lncRNA expression patterns independently revealed new developmental relationships among the earliest progenitor cells in the human bone marrow and thymus. Abstract from Nat Immunol. 2015 Dec;16(12):1282-91. doi: 10.1038/ni.3299.	20.0	HSC, LMPP, CLP, BCP, thymic MLP, thymic MLP 2, thymic T-cell progenitor, Thymic CD4+CD8+ T-cell, Thymic CD4+ T-cell, Thymic CD8+ T-cell	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	MHP CD34+CD38-  adult	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD3- CD14- CD56- CD235a- CD34+	hematopoietic multipotent progenitor		bone marrow	7284<br>Casero<br>MHP CD34+CD38-  adult<br>CD3- CD14- CD56- CD235a- CD34+<br>RNASeq (Illumina HiSeq 2000)
GSM1695854;7284	7284.0	Casero	GSM1695854	CLP sample 1	Homo sapiens	CLP	CL:0000051		common lymphoid progenitor			Casero	To elucidate the transcriptional 'landscape' that regulates human lymphoid commitment during postnatal life, we used RNA sequencing to assemble the long non-coding transcriptome across human bone marrow and thymic progenitor cells spanning the earliest stages of B lymphoid and T lymphoid specification. Over 3,000 genes encoding previously unknown long non-coding RNAs (lncRNAs) were revealed through the analysis of these rare populations. Lymphoid commitment was characterized by lncRNA expression patterns that were highly stage specific and were more lineage specific than those of protein-coding genes. Protein-coding genes co-expressed with neighboring lncRNA genes showed enrichment for ontologies related to lymphoid differentiation. The exquisite cell-type specificity of global lncRNA expression patterns independently revealed new developmental relationships among the earliest progenitor cells in the human bone marrow and thymus. Abstract from Nat Immunol. 2015 Dec;16(12):1282-91. doi: 10.1038/ni.3299.	20.0	HSC, LMPP, CLP, BCP, thymic MLP, thymic MLP 2, thymic T-cell progenitor, Thymic CD4+CD8+ T-cell, Thymic CD4+ T-cell, Thymic CD8+ T-cell	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	CLP adult bone marrow CD34+CD38+CD10+CD45RA+ 	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD3- CD14- CD19- CD56- CD235a- CD34+ CD38+ CD10+ CD45RA+	common lymphoid progenitor		bone marrow	7284<br>Casero<br>CLP adult bone marrow CD34+CD38+CD10+CD45RA+ <br>CD3- CD14- CD19- CD56- CD235a- CD34+ CD38+ CD10+ CD45RA+<br>RNASeq (Illumina HiSeq 2000)
GSM1695855;7284	7284.0	Casero	GSM1695855	CLP sample 2	Homo sapiens	CLP	CL:0000051		common lymphoid progenitor			Casero	To elucidate the transcriptional 'landscape' that regulates human lymphoid commitment during postnatal life, we used RNA sequencing to assemble the long non-coding transcriptome across human bone marrow and thymic progenitor cells spanning the earliest stages of B lymphoid and T lymphoid specification. Over 3,000 genes encoding previously unknown long non-coding RNAs (lncRNAs) were revealed through the analysis of these rare populations. Lymphoid commitment was characterized by lncRNA expression patterns that were highly stage specific and were more lineage specific than those of protein-coding genes. Protein-coding genes co-expressed with neighboring lncRNA genes showed enrichment for ontologies related to lymphoid differentiation. The exquisite cell-type specificity of global lncRNA expression patterns independently revealed new developmental relationships among the earliest progenitor cells in the human bone marrow and thymus. Abstract from Nat Immunol. 2015 Dec;16(12):1282-91. doi: 10.1038/ni.3299.	20.0	HSC, LMPP, CLP, BCP, thymic MLP, thymic MLP 2, thymic T-cell progenitor, Thymic CD4+CD8+ T-cell, Thymic CD4+ T-cell, Thymic CD8+ T-cell	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	CLP adult bone marrow CD34+CD38+CD10+CD45RA+ 	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD3- CD14- CD19- CD56- CD235a- CD34+ CD38+ CD10+ CD45RA+	common lymphoid progenitor		bone marrow	7284<br>Casero<br>CLP adult bone marrow CD34+CD38+CD10+CD45RA+ <br>CD3- CD14- CD19- CD56- CD235a- CD34+ CD38+ CD10+ CD45RA+<br>RNASeq (Illumina HiSeq 2000)
GSM1925965;7264	7264.0	Zhang	GSM1925965	IPSDM MAC rep6	Homo sapiens	iMac	macrophage	macrophage	induced pluripotent stem cell			Zhang	RATIONALE: An efficient and reproducible source of genotype-specific human macrophages is essential for study of human macrophage biology and related diseases. OBJECTIVE: To perform integrated functional and transcriptome analyses of human induced pluripotent stem cell-derived macrophages (IPSDMs) and their isogenic human peripheral blood mononuclear cell-derived macrophage (HMDM) counterparts and assess the application of IPSDM in modeling macrophage polarization and Mendelian disease. METHODS AND RESULTS: We developed an efficient protocol for differentiation of IPSDM, which expressed macrophage-specific markers and took up modified lipoproteins in a similar manner to HMDM. Like HMDM, IPSDM revealed reduction in phagocytosis, increase in cholesterol efflux capacity and characteristic secretion of inflammatory cytokines in response to M1 (lipopolysaccharide+interferon-Œ≥) activation. RNA-Seq revealed that nonpolarized (M0) as well as M1 or M2 (interleukin-4) polarized IPSDM shared transcriptomic profiles with their isogenic HMDM counterparts while also revealing novel markers of macrophage polarization. Relative to IPSDM and HMDM of control individuals, patterns of defective cholesterol efflux to apolipoprotein A-I and high-density lipoprotein-3 were qualitatively and quantitatively similar in IPSDM and HMDM of patients with Tangier disease, an autosomal recessive disorder because of mutations in ATP-binding cassette transporter AI. Tangier disease-IPSDM also revealed novel defects of enhanced proinflammatory response to lipopolysaccharide stimulus. CONCLUSIONS: Our protocol-derived IPSDM are comparable with HMDM at phenotypic, functional, and transcriptomic levels. Tangier disease-IPSDM recapitulated hallmark features observed in HMDM and revealed novel inflammatory phenotypes. IPSDMs provide a powerful tool for study of macrophage-specific function in human genetic disorders as well as molecular studies of human macrophage activation and polarization. Abstract from Circ Res. 2015 Jun 19;117(1):17-28. doi: 10.1161/CIRCRESAHA.117.305860.	33.0	iPSC, MDM, iMac, MDM+IL4, iMAC+IL4, MDM+LPS +IFNg, iMAC+LPS+IFNg	RNASeq (Illumina HiSeq 2000)		Homo sapiens		RNASeq	rgb(0,146,146)	cross	Zhang 2015 iPSC Macrophage	in vitro	pluripotent stem cell	macrophage	CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-	macrophage			7264<br>Zhang<br>Zhang 2015 iPSC Macrophage<br>CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-<br>RNASeq (Illumina HiSeq 2000)
GSM1925966;7264	7264.0	Zhang	GSM1925966	IPSDM M1 rep5	Homo sapiens	iMAC+LPS+IFNg	macrophage	macrophage	induced pluripotent stem cell			Zhang	RATIONALE: An efficient and reproducible source of genotype-specific human macrophages is essential for study of human macrophage biology and related diseases. OBJECTIVE: To perform integrated functional and transcriptome analyses of human induced pluripotent stem cell-derived macrophages (IPSDMs) and their isogenic human peripheral blood mononuclear cell-derived macrophage (HMDM) counterparts and assess the application of IPSDM in modeling macrophage polarization and Mendelian disease. METHODS AND RESULTS: We developed an efficient protocol for differentiation of IPSDM, which expressed macrophage-specific markers and took up modified lipoproteins in a similar manner to HMDM. Like HMDM, IPSDM revealed reduction in phagocytosis, increase in cholesterol efflux capacity and characteristic secretion of inflammatory cytokines in response to M1 (lipopolysaccharide+interferon-Œ≥) activation. RNA-Seq revealed that nonpolarized (M0) as well as M1 or M2 (interleukin-4) polarized IPSDM shared transcriptomic profiles with their isogenic HMDM counterparts while also revealing novel markers of macrophage polarization. Relative to IPSDM and HMDM of control individuals, patterns of defective cholesterol efflux to apolipoprotein A-I and high-density lipoprotein-3 were qualitatively and quantitatively similar in IPSDM and HMDM of patients with Tangier disease, an autosomal recessive disorder because of mutations in ATP-binding cassette transporter AI. Tangier disease-IPSDM also revealed novel defects of enhanced proinflammatory response to lipopolysaccharide stimulus. CONCLUSIONS: Our protocol-derived IPSDM are comparable with HMDM at phenotypic, functional, and transcriptomic levels. Tangier disease-IPSDM recapitulated hallmark features observed in HMDM and revealed novel inflammatory phenotypes. IPSDMs provide a powerful tool for study of macrophage-specific function in human genetic disorders as well as molecular studies of human macrophage activation and polarization. Abstract from Circ Res. 2015 Jun 19;117(1):17-28. doi: 10.1161/CIRCRESAHA.117.305860.	33.0	iPSC, MDM, iMac, MDM+IL4, iMAC+IL4, MDM+LPS +IFNg, iMAC+LPS+IFNg	RNASeq (Illumina HiSeq 2000)		Homo sapiens		RNASeq	rgb(0,146,146)	cross	Zhang 2015 iPSC Macrophage	in vitro	pluripotent stem cell	macrophage	CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-	macrophage	100ng/mL LPS and 20ng/mL IFN-γ for 18-20 hours in the presence of 50ng/mL M-CSF		7264<br>Zhang<br>Zhang 2015 iPSC Macrophage<br>CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-<br>RNASeq (Illumina HiSeq 2000)
GSM1925968;7264	7264.0	Zhang	GSM1925968	IPSDM M2 rep5	Homo sapiens	iMAC+IL4	macrophage	macrophage	induced pluripotent stem cell			Zhang	RATIONALE: An efficient and reproducible source of genotype-specific human macrophages is essential for study of human macrophage biology and related diseases. OBJECTIVE: To perform integrated functional and transcriptome analyses of human induced pluripotent stem cell-derived macrophages (IPSDMs) and their isogenic human peripheral blood mononuclear cell-derived macrophage (HMDM) counterparts and assess the application of IPSDM in modeling macrophage polarization and Mendelian disease. METHODS AND RESULTS: We developed an efficient protocol for differentiation of IPSDM, which expressed macrophage-specific markers and took up modified lipoproteins in a similar manner to HMDM. Like HMDM, IPSDM revealed reduction in phagocytosis, increase in cholesterol efflux capacity and characteristic secretion of inflammatory cytokines in response to M1 (lipopolysaccharide+interferon-Œ≥) activation. RNA-Seq revealed that nonpolarized (M0) as well as M1 or M2 (interleukin-4) polarized IPSDM shared transcriptomic profiles with their isogenic HMDM counterparts while also revealing novel markers of macrophage polarization. Relative to IPSDM and HMDM of control individuals, patterns of defective cholesterol efflux to apolipoprotein A-I and high-density lipoprotein-3 were qualitatively and quantitatively similar in IPSDM and HMDM of patients with Tangier disease, an autosomal recessive disorder because of mutations in ATP-binding cassette transporter AI. Tangier disease-IPSDM also revealed novel defects of enhanced proinflammatory response to lipopolysaccharide stimulus. CONCLUSIONS: Our protocol-derived IPSDM are comparable with HMDM at phenotypic, functional, and transcriptomic levels. Tangier disease-IPSDM recapitulated hallmark features observed in HMDM and revealed novel inflammatory phenotypes. IPSDMs provide a powerful tool for study of macrophage-specific function in human genetic disorders as well as molecular studies of human macrophage activation and polarization. Abstract from Circ Res. 2015 Jun 19;117(1):17-28. doi: 10.1161/CIRCRESAHA.117.305860.	33.0	iPSC, MDM, iMac, MDM+IL4, iMAC+IL4, MDM+LPS +IFNg, iMAC+LPS+IFNg	RNASeq (Illumina HiSeq 2000)		Homo sapiens		RNASeq	rgb(0,146,146)	cross	Zhang 2015 iPSC Macrophage	in vitro	pluripotent stem cell	macrophage	CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-	macrophage	20ng/mL IL-4 for 18-20 hours in the presence of 50ng/mL M-CSF		7264<br>Zhang<br>Zhang 2015 iPSC Macrophage<br>CD68+ MCP-1+ CD45+ CD18+ CD11b+ CD11c+ CD14+ CD16+ CD115+ CX3CR1+ CCR2+ CD1a- CD83- CD3- CD19-<br>RNASeq (Illumina HiSeq 2000)
GSM1977401;7283	7283.0	Notta	GSM1977401	CB1_HSC	Homo sapiens	HSC	CL:0000837		hematopoietic multipotent progenitor			Notta	"In a classical view of hematopoiesis, the various blood cell lineages arise via a hierarchical scheme starting with multipotent stem cells that become increasingly restricted in their differentiation potential through oligopotent and then unipotent progenitors. We developed a cell-sorting scheme to resolve myeloid (My), erythroid (Er), and megakaryocytic (Mk) fates from single CD34(+) cells and then mapped the progenitor hierarchy across human development. Fetal liver contained large numbers of distinct oligopotent progenitors with intermingled My, Er, and Mk fates. However, few oligopotent progenitor intermediates were present in the adult bone marrow. Instead, only two progenitor classes predominate, multipotent and unipotent, with Er-Mk lineages emerging from multipotent cells. The developmental shift to an adult ""two-tier"" hierarchy challenges current dogma and provides a revised framework to understand normal and disease states of human hematopoiesis. Abstract from Science. 2016 Jan 8;351(6269):aab2116. doi: 10.1126/science.aab2116."	24.0	HSC, MPP_71-BAH-, MPP_71+, MPP_71+BAH+, CMP_71-BAH-, CMP_71+, CMP_71+_BAH+, MEP_71-BAH-, MEP_71+, MEP_71+BAH+, MLP, GMP	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	MHP CD34  neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38−/lo CD45RA− Thy1+ CD49f+ CD71− BAH1−	hematopoietic multipotent progenitor		cord blood	7283<br>Notta<br>MHP CD34  neonatal<br>CD34+ CD38−/lo CD45RA− Thy1+ CD49f+ CD71− BAH1−<br>RNASeq (Illumina HiSeq 2000)
GSM1977407;7283	7283.0	Notta	GSM1977407	CB2_HSC	Homo sapiens	HSC	CL:0000837		hematopoietic multipotent progenitor			Notta	"In a classical view of hematopoiesis, the various blood cell lineages arise via a hierarchical scheme starting with multipotent stem cells that become increasingly restricted in their differentiation potential through oligopotent and then unipotent progenitors. We developed a cell-sorting scheme to resolve myeloid (My), erythroid (Er), and megakaryocytic (Mk) fates from single CD34(+) cells and then mapped the progenitor hierarchy across human development. Fetal liver contained large numbers of distinct oligopotent progenitors with intermingled My, Er, and Mk fates. However, few oligopotent progenitor intermediates were present in the adult bone marrow. Instead, only two progenitor classes predominate, multipotent and unipotent, with Er-Mk lineages emerging from multipotent cells. The developmental shift to an adult ""two-tier"" hierarchy challenges current dogma and provides a revised framework to understand normal and disease states of human hematopoiesis. Abstract from Science. 2016 Jan 8;351(6269):aab2116. doi: 10.1126/science.aab2116."	24.0	HSC, MPP_71-BAH-, MPP_71+, MPP_71+BAH+, CMP_71-BAH-, CMP_71+, CMP_71+_BAH+, MEP_71-BAH-, MEP_71+, MEP_71+BAH+, MLP, GMP	RNASeq (Illumina HiSeq 2000)		Homo sapiens	0.2	RNASeq	rgb(0,146,146)	cross	MHP CD34  neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38−/lo CD45RA− Thy1+ CD49f+ CD71− BAH1−	hematopoietic multipotent progenitor		cord blood	7283<br>Notta<br>MHP CD34  neonatal<br>CD34+ CD38−/lo CD45RA− Thy1+ CD49f+ CD71− BAH1−<br>RNASeq (Illumina HiSeq 2000)
GSM2036944;7288	7288.0	Healy	GSM2036944	microglia_M0_1	Homo sapiens	microglia	CL:0000129		microglia			Healy	Multifocal inflammatory lesions featuring destruction of lipid-rich myelin are pathologic hallmarks of multiple sclerosis. Lesion activity is assessed by the extent and composition of myelin uptake by myeloid cells present in such lesions. In the inflamed CNS, myeloid cells are comprised of brain-resident microglia, an endogenous cell population, and monocyte-derived macrophages, which infiltrate from the systemic compartment. Using microglia isolated from the adult human brain, we demonstrate that myelin phagocytosis is dependent on the polarization state of the cells. Myelin ingestion is significantly enhanced in cells exposed to TGF-Œ≤ compared with resting basal conditions and markedly reduced in classically activated polarized cells. Transcriptional analysis indicated that TGF-Œ≤-treated microglia closely resembled M0 cells. The tyrosine kinase phagocytic receptor MerTK was one of the most upregulated among a select number of differentially expressed genes in TGF-Œ≤-treated microglia. In contrast, MerTK and its known ligands, growth arrest-specific 6 and Protein S, were downregulated in classically activated cells. MerTK expression and myelin phagocytosis were higher in CNS-derived microglia than observed in monocyte-derived macrophages, both basally and under all tested polarization conditions. Specific MerTK inhibitors reduced myelin phagocytosis and the resultant anti-inflammatory biased cytokine responses for both cell types. Defining and modulating the mechanisms that regulate myelin phagocytosis has the potential to impact lesion and disease evolution in multiple sclerosis. Relevant effects would include enhancing myelin clearance, increasing anti-inflammatory molecule production by myeloid cells, and thereby permitting subsequent tissue repair. Abstract from J Immunol. 2016 Apr 15;196(8):3375-84. doi: 10.4049/jimmunol.1502562.	30.0	MDM-CSF1, MDM +IFNg +LPS 2d, MDM + IL4 + IL13 2d, MDM + IL4 + IL13 +IL10 2d, MDM + TGFB, microglia, microglia + IFNg + LPS 2d, microglia + IL4 + IL13, microglia + IL4 + IL10 + IL13, microglia + TGFB	Microarray (Affymetrix HuGene-2_0-ST V1)		Homo sapiens	3.56	HuGene	rgb(0,109,219)	diamond-open		ex vivo	myeloid	microglia	CD11b+	microglia		brain	7288<br>Healy<br>nan<br>CD11b+<br>Microarray (Affymetrix HuGene-2_0-ST V1)
