	Dataset	dataset_name	chip_id	replicate_group_id	organism	sample_type	generic_sample_type	final_cell_type	parental_cell_type	sex	labelling	name	description	number of samples	sample types	platform	project	species	Detection threshold	Platform_Category	Platform_Colour	Platform_Symbol	display_metadata	tier1	tier2	tier3	celltype	Blood_Cluster
GSM1386501;7003	7003	Balan	GSM1386501	"R848 XCR1+ bDC, replicate 2"	Homo sapiens	XCR1+ R848 16h	CL:0000451		dendritic cell			Balan	"Human monocyte-derived dendritic cell (MoDC) have been used in the clinic with moderately encouraging results. Mouse XCR1(+) DC excel at cross-presentation, can be targeted in vivo to induce protective immunity, and share characteristics with XCR1(+) human DC. Assessment of the immunoactivation potential of XCR1(+) human DC is hindered by their paucity in vivo and by their lack of a well-defined in vitro counterpart. We report in this study a protocol generating both XCR1(+) and XCR1(-) human DC in CD34(+) progenitor cultures (CD34-DC). Gene expression profiling, phenotypic characterization, and functional studies demonstrated that XCR1(-) CD34-DC are similar to canonical MoDC, whereas XCR1(+) CD34-DC resemble XCR1(+) blood DC (bDC). XCR1(+) DC were strongly activated by polyinosinic-polycytidylic acid but not LPS, and conversely for MoDC. XCR1(+) DC and MoDC expressed strikingly different patterns of molecules involved in inflammation and in cross-talk with NK or T cells. XCR1(+) CD34-DC but not MoDC efficiently cross-presented a cell-associated Ag upon stimulation by polyinosinic-polycytidylic acid or R848, likewise to what was reported for XCR1(+) bDC. Hence, it is feasible to generate high numbers of bona fide XCR1(+) human DC in vitro as a model to decipher the functions of XCR1(+) bDC and as a potential source of XCR1(+) DC for clinical use. Abstract from Journal of Immunology. 2014 Aug 15;193(4):1622-35. doi: 10.4049/jimmunol.1401243."	74	"pDC, CD141- XCR1- DC, CD141+ XCR1- DC, CD1c+, CD1c+ LPS 16h, CD1c+ R848 16h, CD1c+ pIC16hr, MoDC, MoDC +LPS 16h, MoDC +R848 16h, MoDC +pIC 16h, XCR1+, XCR1+ LPS 16h, XCR1+ R848 16h, XCR1+ pIC 16h, XCR1-, XCR1- LPS 16h, XCR1- R848 16h, XCR1- pIC 16h"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.66	HuGene	"rgb(0,109,219)"	diamond-open	CD141+ FLT3-L SCF GM-CSF IL4 R848 16hours adult	myeloid	myeloid	adult	dendritic cell	Dendritic Cell
GSM1386502;7003	7003	Balan	GSM1386502	"LPS XCR1+ bDC, replicate 2"	Homo sapiens	XCR1+ LPS 16h	CL:0000451		dendritic cell			Balan	"Human monocyte-derived dendritic cell (MoDC) have been used in the clinic with moderately encouraging results. Mouse XCR1(+) DC excel at cross-presentation, can be targeted in vivo to induce protective immunity, and share characteristics with XCR1(+) human DC. Assessment of the immunoactivation potential of XCR1(+) human DC is hindered by their paucity in vivo and by their lack of a well-defined in vitro counterpart. We report in this study a protocol generating both XCR1(+) and XCR1(-) human DC in CD34(+) progenitor cultures (CD34-DC). Gene expression profiling, phenotypic characterization, and functional studies demonstrated that XCR1(-) CD34-DC are similar to canonical MoDC, whereas XCR1(+) CD34-DC resemble XCR1(+) blood DC (bDC). XCR1(+) DC were strongly activated by polyinosinic-polycytidylic acid but not LPS, and conversely for MoDC. XCR1(+) DC and MoDC expressed strikingly different patterns of molecules involved in inflammation and in cross-talk with NK or T cells. XCR1(+) CD34-DC but not MoDC efficiently cross-presented a cell-associated Ag upon stimulation by polyinosinic-polycytidylic acid or R848, likewise to what was reported for XCR1(+) bDC. Hence, it is feasible to generate high numbers of bona fide XCR1(+) human DC in vitro as a model to decipher the functions of XCR1(+) bDC and as a potential source of XCR1(+) DC for clinical use. Abstract from Journal of Immunology. 2014 Aug 15;193(4):1622-35. doi: 10.4049/jimmunol.1401243."	74	"pDC, CD141- XCR1- DC, CD141+ XCR1- DC, CD1c+, CD1c+ LPS 16h, CD1c+ R848 16h, CD1c+ pIC16hr, MoDC, MoDC +LPS 16h, MoDC +R848 16h, MoDC +pIC 16h, XCR1+, XCR1+ LPS 16h, XCR1+ R848 16h, XCR1+ pIC 16h, XCR1-, XCR1- LPS 16h, XCR1- R848 16h, XCR1- pIC 16h"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.66	HuGene	"rgb(0,109,219)"	diamond-open	c-DC CD141+  adult	myeloid	myeloid	adult	dendritic cell	Dendritic Cell
GSM1386503;7003	7003	Balan	GSM1386503	"UN bpDC, replicate 1"	Homo sapiens	pDC	myeloid		plasmacytoid dendritic cell			Balan	"Human monocyte-derived dendritic cell (MoDC) have been used in the clinic with moderately encouraging results. Mouse XCR1(+) DC excel at cross-presentation, can be targeted in vivo to induce protective immunity, and share characteristics with XCR1(+) human DC. Assessment of the immunoactivation potential of XCR1(+) human DC is hindered by their paucity in vivo and by their lack of a well-defined in vitro counterpart. We report in this study a protocol generating both XCR1(+) and XCR1(-) human DC in CD34(+) progenitor cultures (CD34-DC). Gene expression profiling, phenotypic characterization, and functional studies demonstrated that XCR1(-) CD34-DC are similar to canonical MoDC, whereas XCR1(+) CD34-DC resemble XCR1(+) blood DC (bDC). XCR1(+) DC were strongly activated by polyinosinic-polycytidylic acid but not LPS, and conversely for MoDC. XCR1(+) DC and MoDC expressed strikingly different patterns of molecules involved in inflammation and in cross-talk with NK or T cells. XCR1(+) CD34-DC but not MoDC efficiently cross-presented a cell-associated Ag upon stimulation by polyinosinic-polycytidylic acid or R848, likewise to what was reported for XCR1(+) bDC. Hence, it is feasible to generate high numbers of bona fide XCR1(+) human DC in vitro as a model to decipher the functions of XCR1(+) bDC and as a potential source of XCR1(+) DC for clinical use. Abstract from Journal of Immunology. 2014 Aug 15;193(4):1622-35. doi: 10.4049/jimmunol.1401243."	74	"pDC, CD141- XCR1- DC, CD141+ XCR1- DC, CD1c+, CD1c+ LPS 16h, CD1c+ R848 16h, CD1c+ pIC16hr, MoDC, MoDC +LPS 16h, MoDC +R848 16h, MoDC +pIC 16h, XCR1+, XCR1+ LPS 16h, XCR1+ R848 16h, XCR1+ pIC 16h, XCR1-, XCR1- LPS 16h, XCR1- R848 16h, XCR1- pIC 16h"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.66	HuGene	"rgb(0,109,219)"	diamond-open	CD141+ FLT3-L SCF GM-CSF IL4 adult	myeloid	myeloid	adult	plasmacytoid dendritic cell	Dendritic Cell
GSM1480261;6787	6787	Renoux	GSM1480261	Lin-CD34+CD38-CD90-CD45RA+ LMPP from Cord blood batch1	Homo sapiens	LMPP	CL:0000837		hematopoietic multipotent progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP Lin-CD34+CD38-CD90-CD45RA+  neonatal	lymphoid progenitor	LP	neonatal	early T lineage precursor	Progenitor
GSM1480262;6787	6787	Renoux	GSM1480262	Lin-CD34+CD38-CD90-CD45RA+ LMPP from Cord blood batch2	Homo sapiens	LMPP	CL:0000837		hematopoietic multipotent progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP Lin-CD34+CD38-CD90-CD45RA+  neonatal	lymphoid progenitor	LP	neonatal	early T lineage precursor	Progenitor
GSM1480263;6787	6787	Renoux	GSM1480263	Lin-CD34+CD38-CD90-CD45RA+ LMPP from Cord blood batch3	Homo sapiens	LMPP	CL:0000837		hematopoietic multipotent progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP Lin-CD34+CD38-CD90-CD45RA+  neonatal	lymphoid progenitor	LP	neonatal	early T lineage precursor	Progenitor
GSM1480264;6787	6787	Renoux	GSM1480264	Lin-CD34+CD38-CD90-CD45RA+ LMPP from Cord blood batch4	Homo sapiens	LMPP	CL:0000837		hematopoietic multipotent progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP Lin-CD34+CD38-CD90-CD45RA+  neonatal	lymphoid progenitor	LP	neonatal	early T lineage precursor	Progenitor
GSM1480265;6787	6787	Renoux	GSM1480265	Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127- NKP from Cord blood batch1	Homo sapiens	NKP	stem progenitor cell		natural killer progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NKP Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127-  neonatal	lymphoid progenitor	NKP	neonatal	natural killer progenitor	Lymphocyte
GSM1480266;6787	6787	Renoux	GSM1480266	Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127- NKP from Cord blood batch2	Homo sapiens	NKP	stem progenitor cell		natural killer progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NKP Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127-  neonatal	lymphoid progenitor	NKP	neonatal	natural killer progenitor	Lymphocyte
GSM1480267;6787	6787	Renoux	GSM1480267	Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127- NKP from Cord blood batch3	Homo sapiens	NKP	stem progenitor cell		natural killer progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NKP Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127-  neonatal	lymphoid progenitor	NKP	neonatal	natural killer progenitor	Lymphocyte
GSM1480268;6787	6787	Renoux	GSM1480268	Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127- NKP from Cord blood batch4	Homo sapiens	NKP	stem progenitor cell		natural killer progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NKP Lin-CD34+CD38+CD123-CD45RA+CD7+CD10+CD127-  neonatal	lymphoid	NKP	neonatal	natural killer progenitor	Progenitor
GSM1480269;6787	6787	Renoux	GSM1480269	CD3-CD56+NKp46+ NK from Cord blood batch1	Homo sapiens	NK	CL:0000623		natural killer cell			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NK CD3-CD56+NKp46+  neonatal	lymphoid	NK	neonatal	natural killer cell	Lymphocyte
GSM1480270;6787	6787	Renoux	GSM1480270	CD3-CD56+NKp46+ NK from Cord blood batch2	Homo sapiens	NK	CL:0000623		natural killer cell			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NK CD3-CD56+NKp46+  neonatal	lymphoid	NK	neonatal	natural killer cell	Lymphocyte
GSM1480271;6787	6787	Renoux	GSM1480271	CD3-CD56+NKp46+ NK from Cord blood batch3	Homo sapiens	NK	CL:0000623		natural killer cell			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NK CD3-CD56+NKp46+  neonatal	lymphoid	NK	neonatal	natural killer cell	Lymphocyte
GSM1480272;6787	6787	Renoux	GSM1480272	CD3-CD56+NKp46+ NK from Cord blood batch4	Homo sapiens	NK	CL:0000623		natural killer cell			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	NK CD3-CD56+NKp46+  neonatal	lymphoid	NK	neonatal	natural killer cell	Lymphocyte
GSM1480273;6787	6787	Renoux	GSM1480273	CD45RA+CD7+CD10+CD127+ CLP from cord blood batch1	Homo sapiens	CLP	CL:0000049		common lymphoid progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP CD45RA+ CD7+ CD10+ CD127+  neonatal	lymphoid progenitor	LP	neonatal	common lymphoid progenitor	Progenitor
GSM1480274;6787	6787	Renoux	GSM1480274	CD45RA+CD7+CD10+CD127+ CLP from cord blood batch2	Homo sapiens	CLP	CL:0000049		common lymphoid progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP CD45RA+ CD7+ CD10+ CD127+  neonatal	lymphoid progenitor	LP	neonatal	common lymphoid progenitor	Progenitor
GSM1480275;6787	6787	Renoux	GSM1480275	CD45RA+CD7+CD10+CD127+ CLP from cord blood batch3	Homo sapiens	CLP	CL:0000049		common lymphoid progenitor			Renoux	"Natural killer (NK) cells are cytotoxic lymphocytes and play a vital role in controlling viral infections and cancer. In contrast to B and T lymphopoiesis where cellular and regulatory pathways have been extensively characterized, the cellular stages of early human NK cell commitment remain poorly understood. Here we demonstrate that a Lin(-)CD34(+)CD38(+)CD123(-)CD45RA(+)CD7(+)CD10(+)CD127(-) population represents a NK lineage-restricted progenitor (NKP) in fetal development, umbilical cord blood, and adult tissues. The newly identified NKP has robust NK cell potential both in vitro and in vivo, generates functionally cytotoxic NK cells, and lacks the ability to produce T cells, B cells, myeloid cells, and innate lymphoid-like cells (ILCs). Our findings identify an early step to human NK cell commitment and provide new insights into the human hematopoietic hierarchy. Abstract from Immunity. 2015 Aug 18;43(2):394-407."	15	"LMPP, CLP, NKP, NK"	Microarray (Affymetrix HuGene-1_0-ST V1 (GPL 6244 and A-AFFY-141))		Homo sapiens	2.28	HuGene	"rgb(0,109,219)"	diamond-open	LP CD45RA+ CD7+ CD10+ CD127+  neonatal	lymphoid progenitor	LP	neonatal	common lymphoid progenitor	Progenitor
GSM1600118;6272	6272	Wise	GSM1600118	untreated control1	Homo sapiens	monocyte	CL:0000576		monocyte			Wise	"Aim: Macrophage infiltration contributes to the pathogenesis of Type 2 diabetes. Mesenchymal stem cells (MSCs) possess immunomodulatory properties, making them an ideal candidate for therapeutic intervention. This study investigated whether MSCs can modulate the phenotype of monocytes isolated from Type 2 diabetic patients with end-stage renal disease. Materials & methods: Monocytes from control (n = 4) and Type 2 diabetic patients with end-stage renal disease (n = 5) were assessed using flow cytometry and microarray profiling, following 48 h of co-culture with MSCs. Results: Control subjects had a greater proportion of CD14++CD16- monocytes while diabetic patients had a higher proportion of CD14++CD16+ and CD14+CD16++ monocytes. MSCs promoted the proliferation of monocytes isolated from diabetic patients, reduced HLA-DR expression in both groups and promoted the expression of anti-inflammatory genes. Conclusion: MSC-derived factors alter the polarization of monocytes isolated from healthy and diabetic subjects toward an M2 phenotype. Abstract from Regen Med. 2015 Nov 6."	18	"monocyte, diabetic monocyte, monocyte + MSC, diabetic monocyte + MSC"	Microarray (Affymetrix HuGene-2_0-ST V1)		Homo sapiens	0.92	HuGene	"rgb(0,109,219)"	diamond-open	Monocyte CD14+  adult	myeloid	myeloid	adult	monocyte	Macrophage
GSM1600119;6272	6272	Wise	GSM1600119	msc control1	Homo sapiens	monocyte + MSC	CL:0000576		monocyte			Wise	"Aim: Macrophage infiltration contributes to the pathogenesis of Type 2 diabetes. Mesenchymal stem cells (MSCs) possess immunomodulatory properties, making them an ideal candidate for therapeutic intervention. This study investigated whether MSCs can modulate the phenotype of monocytes isolated from Type 2 diabetic patients with end-stage renal disease. Materials & methods: Monocytes from control (n = 4) and Type 2 diabetic patients with end-stage renal disease (n = 5) were assessed using flow cytometry and microarray profiling, following 48 h of co-culture with MSCs. Results: Control subjects had a greater proportion of CD14++CD16- monocytes while diabetic patients had a higher proportion of CD14++CD16+ and CD14+CD16++ monocytes. MSCs promoted the proliferation of monocytes isolated from diabetic patients, reduced HLA-DR expression in both groups and promoted the expression of anti-inflammatory genes. Conclusion: MSC-derived factors alter the polarization of monocytes isolated from healthy and diabetic subjects toward an M2 phenotype. Abstract from Regen Med. 2015 Nov 6."	18	"monocyte, diabetic monocyte, monocyte + MSC, diabetic monocyte + MSC"	Microarray (Affymetrix HuGene-2_0-ST V1)		Homo sapiens	0.92	HuGene	"rgb(0,109,219)"	diamond-open	Monocyte CD14+ cocultured with MSC adult	myeloid	myeloid	adult	monocyte	Macrophage
